Player,Pass Yds,Yds/Att,Att,Comp,Comp%,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,Pay
"
                      
                        
                          
                        
                        
                            
                              Peyton Manning
                            
                        
                      
","
                      4413
                    ","
                      7.7
                    ","
                      571
                    ","
                      357
                    ","
                      62.5
                    ","
                      33
                    ","
                      15
                    ","
                      94.7
                    ","
                      213
                    ","
                      37.3
                    ","
                      51
                    ","
                      8
                    ","
                      78
                    ","
                      20
                    ",0
"
                      
                        
                          
                        
                        
                            
                              Jeff Garcia
                            
                        
                      
","
                      4278
                    ","
                      7.6
                    ","
                      561
                    ","
                      355
                    ","
                      63.3
                    ","
                      31
                    ","
                      10
                    ","
                      97.6
                    ","
                      205
                    ","
                      36.5
                    ","
                      59
                    ","
                      9
                    ","
                      69
                    ","
                      24
                    ",0
"
                      
                        
                          
                        
                        
                            
                              Elvis Grbac
                            
                        
                      
","
                      4169
                    ","
                      7.6
                    ","
                      547
                    ","
                      326
                    ","
                      59.6
                    ","
                      28
                    ","
                      14
                    ","
                      89.9
                    ","
                      197
                    ","
                      36
                    ","
                      55
                    ","
                      7
                    ","
                      81
                    ","
                      29
                    ",0
"
                      
                        
                          
                        
                        
                            
                              Daunte Culpepper
                            
                        
                      
","
                      3937
                    ","
                      8.3
                    ","
                      474
                    ","
                      297
                    ","
                      62.7
                    ","
                      33
                    ","
                      16
                    ","
                      98
                    ","
                      190
                    ","
                      40.1
                    ","
                      56
                    ","
                      13
                    ","
                      78
                    ","
                      34
                    ",0
"
                      
                        
                          
                        
                        
                            
                              Brett Favre
                            
                        
                      
","
                      3812
                    ","
                      6.6
                    ","
                      580
                    ","
                      338
                    ","
                      58.3
                    ","
                      20
                    ","
                      16
                    ","
                      78
                    ","
                      193
                    ","
                      33.3
                    ","
                      41
                    ","
                      7
                    ","
                      67
                    ","
                      33
                    ",0
"
                      
                        
                          
                        
                        
                            
                              Vinny Testaverde
                            
                        
                      
","
                      3732
                    ","
                      6.3
                    ","
                      590
                    ","
                      328
                    ","
                      55.6
                    ","
                      21
                    ","
                      25
                    ","
                      69
                    ","
                      179
                    ","
                      30.3
                    ","
                      47
                    ","
                      7
                    ","
                      63
                    ","
                      13
                    ",0
"
                      
                        
                          
                        
                        
                            
                              Steve Beuerlein
                            
                        
                      
","
                      3730
                    ","
                      7
                    ","
                      533
                    ","
                      324
                    ","
                      60.8
                    ","
                      19
                    ","
                      18
                    ","
                      79.7
                    ","
                      195
                    ","
                      36.6
                    ","
                      47
                    ","
                      2
                    ","
                      54
                    ","
                      62
                    ",0
"
                      
                        
                          
                        
                        
                            
                              Mark Brunell
                            
                        
                      
","
                      3640
                    ","
                      7.1
                    ","
                      512
                    ","
                      311
                    ","
                      60.7
                    ","
                      20
                    ","
                      14
                    ","
                      84
                    ","
                      177
                    ","
                      34.6
                    ","
                      39
                    ","
                      9
                    ","
                      67
                    ","
                      54
                    ",0
"
                      
                        
                          
                        
                        
                            
                              Kerry Collins
                            
                        
                      
","
                      3610
                    ","
                      6.8
                    ","
                      529
                    ","
                      311
                    ","
                      58.8
                    ","
                      22
                    ","
                      13
                    ","
                      83.1
                    ","
                      195
                    ","
                      36.9
                    ","
                      46
                    ","
                      7
                    ","
                      59
                    ","
                      28
                    ",0
"
                      
                        
                          
                        
                        
                            
                              Rich Gannon
                            
                        
                      
","
                      3430
                    ","
                      7.2
                    ","
                      473
                    ","
                      284
                    ","
                      60
                    ","
                      28
                    ","
                      11
                    ","
                      92.4
                    ","
                      177
                    ","
                      37.4
                    ","
                      42
                    ","
                      8
                    ","
                      84
                    ","
                      28
                    ",0
